,antigen_recognition_function,antigenic_feature_range,antigenic_feature_count,lymphocytes_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,best_solution,best_fitness,elapsed_time
87,sphere,"(-100, 100)",10,1000,500,0.01,4,"[  0.20335287 -31.69168295  -2.28282182  39.55773917 -22.19513257
  26.8536725   26.14758587  42.28782512 -27.61142328  13.64569932]",7208.725966970634,4.320268869400024
88,sphere,"(-100, 100)",10,1000,500,0.1,3,"[  0.20338109 -31.68814097  -2.28284576  39.55342007 -22.19275578
  26.85123401  26.14489084  42.28321765 -27.60884382  13.64428694]",7207.211878635415,4.213794708251953
89,sphere,"(-100, 100)",10,1000,500,0.1,4,"[  0.20288132 -31.6879045   -2.28262563  39.55310006 -22.19284773
  26.85059821  26.14425151  42.28281342 -27.60829235  13.64412126]",7207.037720354508,4.343564987182617
90,sphere,"(-100, 100)",10,1000,750,0.001,2,"[  0.20339779 -31.69205688  -2.28284301  39.55819655 -22.19535078
  26.85397293  26.14791252  42.28831974 -27.6117286   13.6458504 ]",7208.891689451049,6.27173924446106
91,sphere,"(-100, 100)",10,1000,750,0.001,3,"[ 52.49559915  -7.37809265  57.44599286   6.08288413 -14.2185956
  12.5602404  -14.75791615  -6.78374674 -45.944729   -22.6911379 ]",9396.81702642115,6.372840166091919
92,sphere,"(-100, 100)",10,1000,750,0.001,4,"[  9.59653434 -32.22129826 -33.23074412 -32.97415179   8.08809828
 -75.90851663  -0.3117359   -6.47266693  34.6472214   -6.12026837]",10429.283036998386,6.586504220962524
93,sphere,"(-100, 100)",10,1000,750,0.01,2,"[ 43.49568778 -35.77187842   8.66300405  53.88758806 -13.8386941
 -39.03612771  35.17008278   0.25572807  17.89226052  -8.2813887 ]",9491.465153069254,6.184825897216797
94,sphere,"(-100, 100)",10,1000,750,0.01,3,"[ 43.70411113  -0.92031177  -6.52668803 -31.83302147  -0.6024596
 -37.41956039  -1.75936386   1.23240357  29.66828741  12.65322625]",5412.347265017353,6.393692970275879
95,sphere,"(-100, 100)",10,1000,750,0.01,4,"[  3.24666077  43.44446532  47.61185081 -29.39697575 -13.53325156
  14.42856848 -10.34022963  15.18232902  -8.36449975 -35.03977298]",7055.539390298816,6.747283935546875
96,sphere,"(-100, 100)",10,1000,750,0.1,2,"[ 13.4762625  -17.24296639  -2.94398158 -66.19066376  19.9207582
 -22.85152293 -28.74712337  18.22714975   1.24668264  22.83739817]",7469.556307706755,6.196927070617676
97,sphere,"(-100, 100)",10,1000,750,0.1,3,"[ 31.53139702   9.53462982  36.75795409 -58.21302124 -20.43353343
  17.97171788 -21.09295038  14.36266283  32.95813123  39.61738435]",9872.527322204773,6.356163024902344
98,sphere,"(-100, 100)",10,1000,750,0.1,4,"[ 31.5311388    9.53480381  36.75742075 -58.21268591 -20.43312132
  17.97102563 -21.09257047  14.36207736  32.9577671   39.61690622]",9872.29965418464,6.586638927459717
99,ackley,"(-32.768, 32.768)",3,300,250,0.001,2,[ 2.9070825   3.8519757  -3.06201837],10.186711506866901,1.57222580909729
100,sphere,"(-100, 100)",10,1000,1000,0.001,2,"[ 31.53483765   9.53563338  36.76182283 -58.21980024 -20.43557215
  17.97358173 -21.09513138  14.36414315  32.96164644  39.62180741]",9874.704232173772,8.254690885543823
101,ackley,"(-32.768, 32.768)",3,300,250,0.001,3,[2.11222113 0.13576082 4.4114137 ],10.14155866457323,1.6071538925170898
102,ackley,"(-32.768, 32.768)",3,300,250,0.001,4,[-2.56469892  2.22430099  1.7483457 ],9.075507972766035,1.6675889492034912
103,sphere,"(-100, 100)",10,1000,1000,0.001,3,"[-27.16635296 -23.02150465 -38.07873665 -32.24960737  11.75861313
  14.21876026 -32.42278687 -27.63083803  34.65220212  59.4465124 ]",10647.82916276807,8.514051914215088
104,ackley,"(-32.768, 32.768)",3,300,250,0.01,2,[ 6.00074491 -0.95599174  1.86576242],10.717940947345646,1.5719048976898193
105,ackley,"(-32.768, 32.768)",3,300,250,0.01,3,[ 3.96016777e+00 -9.90109572e-01  3.95285255e-05],7.546708843852574,1.6066570281982422
106,ackley,"(-32.768, 32.768)",3,300,250,0.01,4,[0.97958832 1.95899362 0.97962652],4.88412598317754,1.6017200946807861
107,ackley,"(-32.768, 32.768)",3,300,250,0.1,2,[ 2.04912327e-04  2.95570397e+00 -9.85382221e-01],6.0815690727101455,1.6023011207580566
108,sphere,"(-100, 100)",10,1000,1000,0.01,2,"[  5.13685507 -29.94431107  32.93003711  -8.61686851  22.12471393
 -43.75928851 -19.0984276   39.48090881 -16.05422635  15.37314609]",6903.6290111659255,8.236342906951904
109,sphere,"(-100, 100)",10,1000,1000,0.001,4,"[-40.88988512  18.87743223  68.24078042  18.29917781 -11.72771338
  -7.58846371  11.92360116   6.06764738  36.40586537 -38.09285859]",10170.56973380833,8.862634181976318
110,ackley,"(-32.768, 32.768)",3,300,250,0.1,3,[-2.97851023 -0.99297439  3.97105305],8.876758078311132,1.5955910682678223
111,sphere,"(-100, 100)",10,1000,1000,0.01,3,"[ -8.13293797 -44.56303509  25.73825462   6.28662272 -20.60291484
 -21.21873874 -54.32579314  23.2152094  -11.97302347  23.03902114]",7793.090660155288,8.560003995895386
112,sphere,"(-100, 100)",10,1000,1000,0.01,4,"[ -9.21497636  -1.85915738 -36.45750311  -5.07703795  16.14057199
  48.17378614  48.2083239   38.81829198   9.25551841   2.70605677]",7948.419488084401,8.655491828918457
113,sphere,"(-100, 100)",10,1000,1000,0.1,2,"[-21.34843793 -25.79426793  -7.81804242  -5.27744225   6.45910594
  18.01483715   0.41284534 -38.40397116  20.7639939   34.2347302 ]",4654.523288371456,8.406245946884155
114,ackley,"(-32.768, 32.768)",3,300,250,0.1,4,[-5.98177586 -2.99117605 -4.98503131],12.377796005127168,1.6637458801269531
115,sphere,"(-100, 100)",10,1000,1000,0.1,3,"[-15.80521783  34.93899654  31.66794284  14.86365874  18.11359199
 -33.24019362   9.92801505  16.85771974  -1.10456496 -13.48076959]",4693.037441793789,8.606750965118408
116,sphere,"(-100, 100)",10,1000,1000,0.1,4,"[-26.89741679  26.01122328  28.43576317   9.42564209 -24.34404814
 -29.73658939   4.73943792  11.5573942    6.38901283 -18.20509415]",4302.668120880255,8.67335319519043
117,ackley,"(-32.768, 32.768)",3,300,500,0.001,2,[ 2.12309403 -4.7263988   6.00176652],13.026006339638485,3.1989309787750244
118,ackley,"(-32.768, 32.768)",3,300,500,0.001,3,[0.98010167 4.09404141 0.93297806],8.073369104488881,3.2726221084594727
119,ackley,"(-32.768, 32.768)",3,300,500,0.001,4,[0.49565373 3.96307498 3.38707127],11.023675135833338,3.2396397590637207
120,ackley,"(-32.768, 32.768)",3,300,500,0.01,2,[ 5.89679011  0.15441452 -3.10837584],11.417087490488392,3.2411797046661377
121,ackley,"(-32.768, 32.768)",3,300,500,0.01,3,[ 0.99615601 -5.97670932  3.98449666],11.357290403974659,3.254209041595459
