,antigen_recognition_function,antigenic_feature_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,immune_responses,immune_memory_lymphocytes_count,best_fitness,elapsed_time
79,sphere,3,500,0.001,2,3,0.001,207.95447079986016,3.7595531940460205
80,sphere,3,500,0.001,2,3,0.01,112.89681811313608,7.570686101913452
81,sphere,3,250,0.1,4,10,0.01,3.9156497107664746e-06,6.605607509613037
82,sphere,3,250,0.1,4,10,0.1,17.32519924517729,13.134607315063477
83,sphere,3,500,0.001,2,3,0.1,200.15141238754285,3.855517864227295
84,sphere,3,500,0.001,2,5,0.001,373.9848629584241,6.1746826171875
85,sphere,3,500,0.001,2,5,0.01,129.5549500709135,12.35602331161499
86,sphere,3,500,0.001,3,3,0.001,23.211736567721996,3.841059446334839
87,sphere,3,500,0.001,3,3,0.01,20.605703065634003,7.655613660812378
88,sphere,3,500,0.001,2,5,0.1,287.1673017608133,6.423173427581787
89,sphere,3,500,0.001,3,5,0.001,148.61298347932325,12.82078218460083
90,sphere,3,500,0.001,3,3,0.1,285.43433953986516,3.868407726287842
91,sphere,3,500,0.001,3,5,0.01,315.0026168514543,6.486576080322266
92,sphere,3,500,0.001,2,10,0.001,160.8545408894881,12.566107988357544
93,sphere,3,500,0.001,2,10,0.01,19.61942197427407,25.063573360443115
94,sphere,3,500,0.001,4,3,0.001,251.2205658799275,4.065357685089111
95,sphere,3,500,0.001,3,5,0.1,104.88009121168238,6.370075702667236
96,sphere,3,500,0.001,2,10,0.1,69.17552424169959,12.668573379516602
97,sphere,3,500,0.001,4,3,0.01,67.75142091121299,3.9768691062927246
98,sphere,3,500,0.001,3,10,0.001,261.3430132931295,12.86892819404602
99,sphere,3,500,0.001,4,5,0.001,270.80439487542,6.9391961097717285
100,sphere,3,500,0.001,3,10,0.01,27.14689333284861,13.020989418029785
101,sphere,3,500,0.001,4,3,0.1,27.087133929746685,3.9841372966766357
102,sphere,3,500,0.001,4,5,0.01,58.18788529063926,6.57516884803772
103,sphere,3,500,0.01,2,3,0.001,23.61694732338252,3.920206069946289
104,sphere,3,500,0.001,3,10,0.1,84.5906967751863,13.15297818183899
105,sphere,3,500,0.001,4,5,0.1,71.15830728318905,6.640988111495972
106,sphere,3,500,0.01,2,3,0.01,115.38843765037215,3.715660333633423
107,sphere,3,500,0.01,2,5,0.001,569.4588553595987,6.259159803390503
108,sphere,3,500,0.001,4,10,0.001,357.42156773384244,13.158192873001099
109,sphere,3,500,0.01,2,3,0.1,99.7553126531591,3.6936910152435303
110,sphere,3,500,0.01,2,5,0.01,105.75840032904205,6.190313339233398
111,sphere,3,500,0.001,4,10,0.01,67.27601590109096,13.369899272918701
112,sphere,3,500,0.01,2,5,0.1,90.9512706025933,6.123373985290527
